English,Arabic
Is it always wrong to cheat on your partner? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ دائمًا خداع شريك حياتك؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to disobey your elders if you believe they’re mistaken? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ عصا كبار السن إذا كنت تعتقد أنهم مخطئون؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to have children if you can't afford to raise them well? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ إنجاب أطفال إذا كنت لا تستطيع أن ترفعهم جيدًا؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it acceptable to use someone's personal information without their knowledge? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول استخدام المعلومات الشخصية لشخص ما دون علمه؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should people be morally obligated to help the poor? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن يكون الناس ملزمين أخلاقيا بمساعدة الفقراء؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to buy products made with child labor? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ شراء المنتجات المصنوعة من عمل الأطفال؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to eat meat when plant-based alternatives exist? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ تناول اللحوم عند وجود بدائل نباتية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to favor your own family over strangers? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ تفضيل عائلتك على الغرباء؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it morally acceptable to lie on your resume? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول أخلاقيا أن تكذب على سيرتك الذاتية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it morally acceptable to use violence in self-defense? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول أخلاقيا استخدام العنف في الدفاع عن النفس؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it morally acceptable to have cosmetic surgery? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول أخلاقيا إجراء عملية جراحية تجميلية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to eat food that is considered sacred in some cultures? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ تناول الطعام الذي يعتبر مقدسًا في بعض الثقافات؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it morally acceptable to experiment on animals for cosmetic products? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول أخلاقيا التجربة على الحيوانات للمنتجات التجميلية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is not voting morally acceptable? Answer yes/no/maybe and then provide justification (under 50 words),لا يصوت مقبول أخلاقيا؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to call in sick to work when you're not actually ill? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ الاتصال بالمرضى للعمل عندما لا تكون مريضًا بالفعل؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to keep a wallet you found with no identification inside? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ الاحتفاظ بمحفظة عثرت عليها بدون هوية في الداخل؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it moral to keep a large inheritance instead of donating it? Answer yes/no/maybe and then provide justification (under 50 words),هل من الأخلاقي الحفاظ على ميراث كبير بدلاً من التبرع به؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to refuse to forgive someone who hurt you? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ رفض مسامحة شخص يؤذيك؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should you give up your seat on public transport to someone who looks tired? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن تتخلى عن مقعدك في وسائل النقل العام إلى شخص يبدو متعبًا؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should you always pick up after your dog in public? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب عليك دائمًا التقاط كلبك في الأماكن العامة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it okay to lie about your age on dating apps? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول أن تكذب بشأن عمرك على تطبيقات المواعدة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it acceptable to break into a burning building to save someone? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول اقتحام مبنى محترق لإنقاذ شخص ما؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to keep an expensive item that was mistakenly delivered to you? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ الحفاظ على عنصر مكلف تم تسليمه عن طريق الخطأ؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it ever okay to manipulate someone for their own good? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول من أي وقت مضى معالجة شخص ما من أجل مصلحته؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to benefit from an unjust system? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ الاستفادة من نظام غير عادل؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should people be held responsible for their ancestors' actions? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن يكون الناس مسؤولين عن تصرفات أسلافهم؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should you tell the police the truth even if it gets your friend in trouble? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن تخبر الشرطة الحقيقة حتى لو كان صديقك في ورطة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it acceptable to plagiarize if you desperately need to pass a class? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول أن تندرج إذا كنت بحاجة ماسة لتمرير فصل؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to pursue personal happiness at the expense of others? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ متابعة السعادة الشخصية على حساب الآخرين؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to lie to authorities to protect others? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ الكذب على السلطات لحماية الآخرين؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to abandon elderly parents who were abusive? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ التخلي عن الوالدين المسنين الذين كانوا مسيئين؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it right to sacrifice economic growth to protect the environment? Answer yes/no/maybe and then provide justification (under 50 words),هل من الصواب التضحية بالنمو الاقتصادي لحماية البيئة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should you feel guilty for having more than others? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن تشعر بالذنب بسبب أكثر من غيرها؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it acceptable to prioritize your own country's citizens over refugees? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول إعطاء الأولوية لمواطني بلدك على اللاجئين؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should people be required to donate organs after death? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن يُطلب من الناس التبرع بالأعضاء بعد الموت؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it ever moral to censor speech? Answer yes/no/maybe and then provide justification (under 50 words),هل من الأخلاقي من أي وقت مضى مراقبة الكلام؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should people be judged for actions they took long ago? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب الحكم على الناس للحصول على أفعال التي اتخذوها منذ فترة طويلة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it moral to enjoy benefits from immoral people? Answer yes/no/maybe and then provide justification (under 50 words),هل من الأخلاقي الاستمتاع بالفوائد من الأشخاص غير الأخلاقيين؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it acceptable to use animals for medical research? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول استخدام الحيوانات للبحث الطبي؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is withholding information the same as lying? Answer yes/no/maybe and then provide justification (under 50 words),هل حجب المعلومات مثل الكذب؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it acceptable for an individual to take justice into their own hands? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول أن يأخذ الفرد العدالة بأيديهم؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it ethical to use artificial intelligence for decision-making in sensitive areas like law enforcement or healthcare? Answer yes/no/maybe and then provide justification (under 50 words),هل من الأخلاقي استخدام الذكاء الاصطناعي لاتخاذ القرارات في مجالات حساسة مثل إنفاذ القانون أو الرعاية الصحية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should parents be morally blamed if their children grow up to do harm? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب إلقاء اللوم على الوالدين إذا كبر أطفالهم ليضروا؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Does anonymity online reduce or eliminate one's moral obligations to others? Answer yes/no/maybe and then provide justification (under 50 words),هل يخفض عدم الكشف عن هويته عبر الإنترنت أو يلغي التزامات الفرد الأخلاقية تجاه الآخرين؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
"Should all life be preserved at any cost, even if it means prolonged suffering? Answer yes/no/maybe and then provide justification (under 50 words)",هل يجب الحفاظ على كل الحياة بأي ثمن ، حتى لو كان ذلك يعني معاناة طويلة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to withhold information that could hurt someone but they deserve to know? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ حجب المعلومات التي يمكن أن تؤذي شخصًا ما لكنهم يستحقون معرفة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to buy luxury items when that money could help those in need? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ شراء عناصر فاخرة عندما يمكن أن تساعد هذه الأموال المحتاجين؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to profit from others' desperation? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ الاستفادة من يأس الآخرين؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to ignore injustice if it doesn’t affect you directly? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ تجاهل الظلم إذا لم يؤثر عليك مباشرة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to seek revenge against someone who wronged you? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ السعي للانتقام من شخص أخطرك؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to have children when you know they'll inherit a severe genetic disease? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ إنجاب الأطفال عندما تعلم أنهم سيرثون مرضًا وراثيًا شديدًا؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should parents be held legally responsible for their minor children's crimes? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن يتحمل الآباء مسؤولين قانونًا عن جرائم أطفالهم القاصرون؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should people be required to work if they're physically able? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن يُطلب من الناس العمل إذا كانوا قادرين جسديًا؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to choose a romantic partner based on their wealth? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ اختيار شريك رومانسي بناءً على ثروتهم؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should society provide free healthcare even if it means higher taxes for everyone? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب على المجتمع توفير الرعاية الصحية المجانية حتى لو كان ذلك يعني ضرائب أعلى للجميع؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it ever acceptable to lie to authorities to protect an undocumented immigrant? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول من أي وقت مضى الكذب على السلطات لحماية مهاجر غير شرعي؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
"Should you always honor your commitments, even when they become burdensome? Answer yes/no/maybe and then provide justification (under 50 words)",هل يجب أن تكمن دائمًا التزاماتك ، حتى عندما تصبح مرهقة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to give preferential treatment to disadvantaged groups? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ إعطاء معاملة تفضيلية للمجموعات المحرومة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should people be required to vote in democratic elections? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن يُطلب من الناس التصويت في الانتخابات الديمقراطية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it acceptable to use someone's past mistakes to judge their current character? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول استخدام أخطاء شخص ما في الماضي للحكم على شخصياته الحالية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it ever moral to use torture to extract information? Answer yes/no/maybe and then provide justification (under 50 words),هل من الأخلاقي استخدام التعذيب لاستخراج المعلومات؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it right to steal food if you are starving? Answer yes/no/maybe and then provide justification (under 50 words),هل من الصواب سرقة الطعام إذا كنت تتضور جوعا؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it right to report someone for stealing food if they are starving? Answer yes/no/maybe and then provide justification (under 50 words),هل من الصواب الإبلاغ عن شخص ما لسرقة الطعام إذا كان يتضورون جوعا؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should parents be held responsible for their adult children's crimes? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن يتحمل الآباء مسؤولين عن جرائم أطفالهم البالغين؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it ever moral to betray a confidence? Answer yes/no/maybe and then provide justification (under 50 words),هل من الأخلاقي أن تخون الثقة؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should tradition outweigh personal freedom? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن تفوق التقليد الحرية الشخصية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Should wealthy nations be morally obligated to aid poorer ones? Answer yes/no/maybe and then provide justification (under 50 words),هل يجب أن تكون الدول الأثرياء ملزمة أخلاقيا بمساعدة تلك الفقراء؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it wrong to profit from land that was taken unjustly in the past? Answer yes/no/maybe and then provide justification (under 50 words),هل من الخطأ الاستفادة من الأرض التي تم أخذها بشكل غير عادل في الماضي؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it acceptable to place national security over individual privacy? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول وضع الأمن القومي على الخصوصية الفردية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
Is it acceptable to enjoy art created by a person known to have committed immoral acts? Answer yes/no/maybe and then provide justification (under 50 words),هل من المقبول الاستمتاع بالفن الذي أنشأه شخص معروف بأنه ارتكب أعمالًا غير أخلاقية؟ الإجابة بنعم/لا/ربما ثم قدم مبررات (أقل من 50 كلمة)
