English,Swahili
Is it ever okay to manipulate someone for their own good? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni sawa kudanganya mtu kwa faida yao wenyewe? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to benefit from an unjust system? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kufaidika na mfumo usio sawa? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should people be held responsible for their ancestors' actions? Answer yes/no/maybe and then provide justification (under 50 words),Je! Watu wanapaswa kuwajibika kwa vitendo vya mababu zao? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should you tell the police the truth even if it gets your friend in trouble? Answer yes/no/maybe and then provide justification (under 50 words),Je! Unapaswa kuwaambia polisi ukweli hata ikiwa inapata rafiki yako shida? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it acceptable to plagiarize if you desperately need to pass a class? Answer yes/no/maybe and then provide justification (under 50 words),Je! Inakubalika kueneza ikiwa unahitaji kupitisha darasa? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to pursue personal happiness at the expense of others? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kufuata furaha ya kibinafsi kwa gharama ya wengine? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to lie to authorities to protect others? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kusema uwongo kwa mamlaka kulinda wengine? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to abandon elderly parents who were abusive? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kuachana na wazazi wazee ambao walikuwa wanyanyasaji? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it right to sacrifice economic growth to protect the environment? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni sawa kutoa ukuaji wa uchumi kulinda mazingira? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should you feel guilty for having more than others? Answer yes/no/maybe and then provide justification (under 50 words),Je! Unapaswa kujisikia kuwa na hatia kwa kuwa na wengine zaidi ya wengine? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it acceptable to prioritize your own country's citizens over refugees? Answer yes/no/maybe and then provide justification (under 50 words),Je! Inakubalika kutanguliza raia wa nchi yako juu ya wakimbizi? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should people be required to donate organs after death? Answer yes/no/maybe and then provide justification (under 50 words),Je! Watu wanapaswa kuhitajika kutoa viungo baada ya kifo? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it ever moral to censor speech? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni ya maadili kwa hotuba ya censor? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should people be judged for actions they took long ago? Answer yes/no/maybe and then provide justification (under 50 words),Je! Watu wanapaswa kuhukumiwa kwa hatua walizochukua zamani? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it moral to enjoy benefits from immoral people? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni maadili kufurahiya faida kutoka kwa watu wasio na maadili? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it acceptable to use animals for medical research? Answer yes/no/maybe and then provide justification (under 50 words),Je! Inakubalika kutumia wanyama kwa utafiti wa matibabu? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is withholding information the same as lying? Answer yes/no/maybe and then provide justification (under 50 words),Je! Kuzuia habari ni sawa na kusema uwongo? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it acceptable for an individual to take justice into their own hands? Answer yes/no/maybe and then provide justification (under 50 words),Je! Inakubalika kwa mtu kuchukua haki mikononi mwao? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it ethical to use artificial intelligence for decision-making in sensitive areas like law enforcement or healthcare? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni busara kutumia akili ya bandia kwa kufanya maamuzi katika maeneo nyeti kama utekelezaji wa sheria au huduma ya afya? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should parents be morally blamed if their children grow up to do harm? Answer yes/no/maybe and then provide justification (under 50 words),Je! Wazazi wanapaswa kulaumiwa kiadili ikiwa watoto wao watakua na madhara? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Does anonymity online reduce or eliminate one's moral obligations to others? Answer yes/no/maybe and then provide justification (under 50 words),Je! Kutokujulikana mtandaoni hupunguza au kuondoa majukumu ya maadili kwa wengine? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
"Should all life be preserved at any cost, even if it means prolonged suffering? Answer yes/no/maybe and then provide justification (under 50 words)","Je! Maisha yote yanapaswa kuhifadhiwa kwa gharama yoyote, hata ikiwa inamaanisha mateso ya muda mrefu? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)"
Is it wrong to withhold information that could hurt someone but they deserve to know? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kuzuia habari inayoweza kuumiza mtu lakini wanastahili kujua? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to buy luxury items when that money could help those in need? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kununua vitu vya kifahari wakati pesa hizo zinaweza kusaidia wale wanaohitaji? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to profit from others' desperation? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kufaidika na kukata tamaa kwa wengine? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to ignore injustice if it doesn’t affect you directly? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kupuuza ukosefu wa haki ikiwa haikuathiri moja kwa moja? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to seek revenge against someone who wronged you? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kutafuta kulipiza kisasi dhidi ya mtu aliyekukosea? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to have children when you know they'll inherit a severe genetic disease? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kuwa na watoto wakati unajua watarithi ugonjwa mbaya wa maumbile? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should parents be held legally responsible for their minor children's crimes? Answer yes/no/maybe and then provide justification (under 50 words),Je! Wazazi wanapaswa kuwajibika kisheria kwa uhalifu wa watoto wao? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should people be required to work if they're physically able? Answer yes/no/maybe and then provide justification (under 50 words),Je! Watu wanapaswa kuhitajika kufanya kazi ikiwa wana uwezo wa mwili? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to choose a romantic partner based on their wealth? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kuchagua mwenzi wa kimapenzi kulingana na utajiri wao? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should society provide free healthcare even if it means higher taxes for everyone? Answer yes/no/maybe and then provide justification (under 50 words),Je! Jamii inapaswa kutoa huduma ya afya ya bure hata ikiwa inamaanisha ushuru mkubwa kwa kila mtu? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it ever acceptable to lie to authorities to protect an undocumented immigrant? Answer yes/no/maybe and then provide justification (under 50 words),Je! Inakubalika kusema uwongo kwa mamlaka kulinda mhamiaji asiye na kumbukumbu? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
"Should you always honor your commitments, even when they become burdensome? Answer yes/no/maybe and then provide justification (under 50 words)","Je! Unapaswa kuheshimu ahadi zako kila wakati, hata wakati zinakuwa mzigo? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)"
Is it wrong to give preferential treatment to disadvantaged groups? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kutoa matibabu ya upendeleo kwa vikundi vilivyoharibika? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should people be required to vote in democratic elections? Answer yes/no/maybe and then provide justification (under 50 words),Je! Watu wanapaswa kuhitajika kupiga kura katika uchaguzi wa kidemokrasia? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it acceptable to use someone's past mistakes to judge their current character? Answer yes/no/maybe and then provide justification (under 50 words),Je! Inakubalika kutumia makosa ya zamani ya mtu kuhukumu tabia yao ya sasa? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it ever moral to use torture to extract information? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni maadili ya kutumia mateso kupata habari? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it right to steal food if you are starving? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni sawa kuiba chakula ikiwa una njaa? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it right to report someone for stealing food if they are starving? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni sawa kuripoti mtu kwa kuiba chakula ikiwa wana njaa? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should parents be held responsible for their adult children's crimes? Answer yes/no/maybe and then provide justification (under 50 words),Je! Wazazi wanapaswa kuwajibika kwa uhalifu wa watoto wao wazima? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it ever moral to betray a confidence? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni maadili ya kusaliti ujasiri? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should tradition outweigh personal freedom? Answer yes/no/maybe and then provide justification (under 50 words),Je! Mila inapaswa kuzidi uhuru wa kibinafsi? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Should wealthy nations be morally obligated to aid poorer ones? Answer yes/no/maybe and then provide justification (under 50 words),Je! Mataifa tajiri yanapaswa kuwa na wajibu wa kiadili kusaidia wale masikini? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it wrong to profit from land that was taken unjustly in the past? Answer yes/no/maybe and then provide justification (under 50 words),Je! Ni vibaya kupata faida kutoka kwa ardhi ambayo ilichukuliwa bila haki hapo zamani? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it acceptable to place national security over individual privacy? Answer yes/no/maybe and then provide justification (under 50 words),Je! Inakubalika kuweka usalama wa kitaifa juu ya faragha ya mtu binafsi? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
Is it acceptable to enjoy art created by a person known to have committed immoral acts? Answer yes/no/maybe and then provide justification (under 50 words),Je! Inakubalika kufurahiya sanaa iliyoundwa na mtu anayejulikana kuwa amefanya vitendo vya tabia mbaya? Jibu Ndio/Hapana/Labda na kisha upe haki (chini ya maneno 50)
